id,emoji,description,ocurrences
8959,👠,high-heeled shoe,1
8962,💯,hundred points,3
8967,🙄,face with rolling eyes,1
8967,😑,expressionless face,1
8968,🧠,brain,1
8972,🙏🏾,folded hands: medium-dark skin tone,1
8974,❤️,red heart,1
8974,🔔,bell,1
8974,💀,skull,2
8974,😂,face with tears of joy,1
8975,♟️,chess pawn,1
8976,♟️,chess pawn,1
8978,♟️,chess pawn,1
8979,🌟,glowing star,1
8979,♟,chess pawn,1
8979,🏆,trophy,1
8979,🔥,fire,1
8984,🙏🏾,folded hands: medium-dark skin tone,1
8985,🧠,brain,1
8986,🗿,moai,1
8986,♟️,chess pawn,3
8989,✨,sparkles,2
8989,💕,two hearts,2
8990,🥳,partying face,3
8990,‼️,double exclamation mark,2
8991,🔺,red triangle pointed up,2
8991,❌,cross mark,1
8991,❗,red exclamation mark,2
8992,🙏🏾,folded hands: medium-dark skin tone,1
8993,©,copyright,1
8993,👆,backhand index pointing up,1
8993,🌎,globe showing Americas,1
8994,👥,busts in silhouette,1
8994,♟,chess pawn,1
8994,➡,right arrow,1
8994,🤙,call me hand,1
8995,⬆️,up arrow,1
8996,♟,chess pawn,2
8996,🎈,balloon,1
8996,⏱,stopwatch,1
8996,📌,pushpin,7
8996,🏆,trophy,1
8998,🔊,speaker high volume,1
8999,♟️,chess pawn,1
8999,🎨,artist palette,1
9001,😫,tired face,1
9004,♟️,chess pawn,1
9004,😅,grinning face with sweat,1
9008,😅,grinning face with sweat,1
9008,🤖,robot,1
9013,🧐,face with monocle,1
9013,♟️,chess pawn,1
9014,🔴,red circle,1
9014,✅,check mark button,2
9014,☑️,check box with check,2
9015,🔥,fire,1
9016,♟️,chess pawn,1
9021,♟️,chess pawn,1
9022,⬅,left arrow,1
9022,👇,backhand index pointing down,2
9022,🇨🇷,flag: Costa Rica,1
9023,😎,smiling face with sunglasses,1
9023,🇧🇷,flag: Brazil,1
9023,🇪🇸,flag: Spain,1
9023,👸,princess,1
9023,👉,backhand index pointing right,2
9024,🌟,glowing star,1
9024,✨,sparkles,1
9024,💻,laptop,2
9024,🚀,rocket,1
9024,📖,open book,2
9024,🗣️,speaking head,1
9024,♟️,chess pawn,1
9024,➗,divide,1
9024,🖥️,desktop computer,1
9024,📞,telephone receiver,1
9024,👩🏻‍💻,woman technologist: light skin tone,1
9024,🎨,artist palette,1
9024,🧘🏻‍♀️,woman in lotus position: light skin tone,1
9024,🎵,musical note,1
9024,📧,e-mail,1
9024,🌞,sun with face,1
9034,🎨,artist palette,1
9034,🖌️,paintbrush,1
9039,🙀,weary cat,1
9046,😂,face with tears of joy,2
9048,🚫,prohibited,1
9049,🤪,zany face,1
9049,👉🏽,backhand index pointing right: medium skin tone,1
9049,♟️,chess pawn,1
9049,🤯,exploding head,1
9050,❓,red question mark,1
9050,♟,chess pawn,1
9050,🏡,house with garden,1
9050,🦴,bone,1
9050,🪄,magic wand,1
9050,🖼,framed picture,1
9050,📍,round pushpin,7
9050,⚔️,crossed swords,1
9050,🏙,cityscape,1
9050,🧩,puzzle piece,1
9050,☎️,telephone,1
9050,🏻,light skin tone,2
9050,👇🏻,backhand index pointing down: light skin tone,1
9050,‼️,double exclamation mark,1
9051,🙂,slightly smiling face,1
9054,♟️,chess pawn,1
9055,🎊,confetti ball,1
9056,✨,sparkles,2
9059,♟️,chess pawn,1
9059,🙏,folded hands,1
9060,🙌,raising hands,1
9060,💪,flexed biceps,1
9060,😤,face with steam from nose,1
9061,👁️,eye,1
9061,🇩🇪,flag: Germany,1
9061,💕,two hearts,1
9062,✅,check mark button,10
9062,👀,eyes,1
9062,📸,camera with flash,1
9062,🤯,exploding head,1
9062,😍,smiling face with heart-eyes,1
9062,🔥,fire,1
9062,💪,flexed biceps,1
9062,👉,backhand index pointing right,1
9062,‼️,double exclamation mark,1
9066,🌟,glowing star,2
9066,📍,round pushpin,2
9067,👍,thumbs up,1
9067,📩,envelope with arrow,1
9067,💬,speech balloon,1
9067,🗿,moai,3
9067,⬇️,down arrow,3
9069,☺️,smiling face,1
9069,🙏🏼,folded hands: medium-light skin tone,1
9070,🍕,pizza,1
9070,⚽,soccer ball,1
9072,♟,chess pawn,1
9074,💀,skull,3
9078,🔥,fire,1
9080,😋,face savoring food,1
9080,❌,cross mark,1
9080,😙,kissing face with smiling eyes,1
9082,👌🏻,OK hand: light skin tone,1
9083,👌,OK hand,1
9083,🤟,love-you gesture,1
9083,🔥,fire,1
9084,❤️,red heart,1
9084,🇹🇷,flag: Turkey,8
9084,👏🏻,clapping hands: light skin tone,1
9087,👀,eyes,1
9089,✅,check mark button,1
9089,😎,smiling face with sunglasses,1
9089,⤵️,right arrow curving down,1
9089,🤼‍♀️,women wrestling,1
9089,📍,round pushpin,1
9089,⁉️,exclamation question mark,1
9089,📲,mobile phone with arrow,1
9089,📣,megaphone,1
9089,🏊🏻‍♂️,man swimming: light skin tone,1
9089,🤔,thinking face,1
9089,‼️,double exclamation mark,1
9090,🌺,hibiscus,1
9091,🇳🇬,flag: Nigeria,1
9093,♟,chess pawn,1
9093,🎯,bullseye,1
9093,📆,tear-off calendar,1
