,0,1,2,3,4
1087170,14.683875,6.7404437,0.84474456,-0.284944,9.016301
1088485,16.399078,5.224441,-2.970354,2.0743523,11.741265
1088479,15.438448,4.098775,-3.4750211,2.7948754,12.218029
1084378,15.189367,4.7350545,-3.6333382,2.416669,12.589458
1087199,14.892822,5.2898636,-0.14392555,-0.035839405,9.5597105
1087263,15.387056,5.416215,0.3160977,-0.86234236,10.276593
1082457,15.194839,4.0662923,-3.2664516,2.8829315,12.297446
1088752,15.911055,6.2413616,0.7378017,-0.3110253,12.017517
1084695,14.880449,3.7188625,-3.7296622,2.8014545,12.658146
1084834,16.427958,5.432301,-2.8676841,2.059139,11.8077755
1086487,15.865869,5.4186573,-2.7901733,2.0837,12.249983
1080823,15.9289,5.897311,0.6459875,-0.9043575,10.876063
1089600,14.972781,4.584206,1.3640184,-1.8316941,10.102374
1080898,15.793705,4.931088,-2.3194995,1.2490675,11.676314
1085456,15.479324,5.9693127,-2.3790977,2.0809035,11.579905
1089198,15.028508,5.2564697,2.1186857,-1.7448392,10.913859
1088622,15.134182,4.646578,1.3247565,-1.0814136,11.21619
1084910,15.467322,4.910775,1.267773,-0.99294835,10.8608675
1086650,16.232151,5.052287,-2.9622061,2.0762465,12.030425
