id,person
1383999,ian nepomniachtchi
1383999,stev bonhage
1384007,ding liren
1384013,ding liren
1384020,nepoding
1384116,ding
1384133,ian nepomniachtchi
1384135,ding liren
1384139,richard
1384146,ding
1384158,richard
1384171,ian nepomniachtchi
1384171,ding liren
1384181,ian nepomniachtchi
1384194,ian nepomniachtchi
1384200,ian nepomniachtchi
1384274,ding liren
1384274,ian nepomniachtchi
1384278,ian nepomniachtchi
1384278,white
1384357,ding liren
1384446,kanat sharlapaev
1384446,stev bonhage
1384481,nepomniachtchi
1384491,ian nepomniachtchi
1384491,white
1384529,ian nepomniachtchi
1384529,ding liren
1384535,ruy lopez
1384562,daniil dubov
1384562,irina krush
1384574,ian nepomniachtchi
1384574,ding liren
1384627,ian nepomniachtchi
1384627,white
1384706,ian nepomniachtchi
1384706,white
1384706,ding liren
1384732,ian nepomniachtchi
1384760,bolton
1384765,tkachnko
1385090,blitz
1385649,magnus carlsen
1385686,blitz
1388749,elon
1389961,fischer
1389961,spassky
1389975,kuznetsov
1390583,ian nepomniachtchi
1390676,dorogov
1390830,gurgenidze
1391240,ian nepomniachtchi
1391240,ding
1391781,ian nepomniachtchi
1391779,zakhodiakin
1391782,ding liren
1391782,ian nepomniachtchi
1391805,australia
1391805,rohit sharma
1391805,shubman
1391805,gill
1391805,pujara
1391805,kohli
1391805,rahane
1391805,bharath
1391805,jadeja
1391805,"shardul
ashwin"
1391805,"axar
siraj
shami"
1391837,karpov
1391837,kasparov
1391848,dimash qudaibergen
1391904,dimash qudaibergen
1391979,dimash qudaibergen
1391993,paul
1392077,dimash qudaibergen
1392093,dimash qudaibergen
1392105,dimash qudaibergen
1392118,ian
1392118,ding
1392119,ian
1392134,karpov
1392134,fisher
1392134,capablanca
1392186,dimash qudaibergen
1392224,ding liren
1392281,dimash
1392281,dimashqudaibergen
1392281,dimashdearstogether
1392306,dimash qudaibergen
1392322,dimash qudaibergen
1392355,nepo
1392425,horowitz
1392475,dimash qudaibergen
1392484,dimash
1392631,dimash
1392631,dimash qudaibergen
1392633,dimashqudaibergen
1392633,togetherbydimash
1392645,sam loyd
1392652,dimashqudaibergen
1392657,dimash qudaibergen
1392758,dimash
1392758,dimashqudaibergen
1392758,dimashdearstogether
1392775,stev bonhage
1392785,dimash
1392785,dimashqudaibergen
1392798,dimashqudaibergen
1392798,dimashdearstogether
1392798,dimash
1392798,toget
1392921,divis
1392921,pepeichstories
1393019,stev bonhage
1393036,dimashqudaibergen
1393036,togetherbydimash
1393049,dimash qudaibergen
1393050,ajedrez
1393050,dimashqudaibergen
1393050,togeth
1393146,ajedrez
1393156,carlsen
1393197,dimashqudaibergen
1393225,dimashqudaibergen
1393226,dimashqudaibergen
1393230,dimashqudaibergen
1393255,dimashqudaibergen
1393255,togetherbydimash
1393273,dimashqudaibergen
1393273,dimashde
