text_id,labels,type,text
1081067,-1,PERSON,Negreira
1081067,-1,PERSON,Lucas
1080945,0,ORGANIZATION,barsa
1080945,0,ORGANIZATION,Mallorca
1080971,0,ORGANIZATION,negreira fc
1080995,24,ORGANIZATION,Madrid
1080975,-1,PERSON,As_TomasRoncero
1080975,-1,ORGANIZATION,realmadrid
1080975,-1,PERSON,Tebas
1081078,-1,PERSON,ministro de deportes Iceta
1081078,-1,PERSON,Negreira
1081078,-1,PERSON,Barcelona
1080995,24,ORGANIZATION,barsa
1080995,24,ORGANIZATION,Negreira
1080984,-1,ORGANIZATION,UEFA
1080863,-1,PERSON,SETROI
1080863,-1,ORGANIZATION,Barcelona
1080863,-1,PERSON,Negreira
1080863,-1,PERSON,José Luis Enríquez Negreira
1080863,-1,ORGANIZATION,FC Barcelona
1080984,-1,ORGANIZATION,Chelsea
1081068,0,PERSON,depa
1081068,0,PERSON,weon
1080970,-1,PERSON,Carlos Martínez
1081089,-1,ORGANIZATION,futbolgate
1081089,-1,PERSON,Negreira Jr
1081089,-1,ORGANIZATION,Movistar
1081057,17,PERSON,Alfremartinezz
1081057,17,PERSON,Laporta
1081057,17,ORGANIZATION,Negreira'
1080970,-1,PERSON,Negreira Jr.
1080970,-1,ORGANIZATION,Roures TV
1080970,-1,ORGANIZATION,Barsa-Madrid
1080970,-1,PERSON,Nacho
1080970,-1,PERSON,Luis Suárez
1081076,-1,PERSON,Negreira Jr
1080974,-1,PERSON,Negreira
1080814,0,PERSON,Messi
1080927,5,PERSON,FERNÁNDEZ
1080938,0,ORGANIZATION,Barsa
1080938,0,EVENT,Copa
1081012,0,PERSON,Guti
1081012,0,ORGANIZATION,Barsa
1080832,16,PERSON,Negreira
1080832,16,PERSON,Pérez Lima
1081052,-1,PERSON,Negreira
1081052,-1,PERSON,Carlos Martinez
1081052,-1,ORGANIZATION,Movistar
1081052,-1,ORGANIZATION,Barsa
1081052,-1,ORGANIZATION,Federación
1081052,-1,ORGANIZATION,CTA
1081052,-1,ORGANIZATION,Liga
1080924,0,ORGANIZATION,Barsa de
1080924,0,PERSON,Messi
1081001,0,ORGANIZATION,Lobo Carrasco
1081001,0,ORGANIZATION,Psg
1081001,0,EVENT,Juicio de Negreira
1080969,0,ORGANIZATION,Pte
1081001,0,EVENT,europa league
1081042,-1,ORGANIZATION,CTA
1081042,-1,ORGANIZATION,itu_edu
1081042,-1,ORGANIZATION,'caso
1081042,-1,PERSON,Negreira
1081042,-1,ORGANIZATION,ellarguero
1081050,-1,PERSON,Negreira
1080934,20,PERSON,Negreira
1080934,20,ORGANIZATION,FCB
1081011,-1,PERSON,Negreira
1081033,0,ORGANIZATION,Barsa
1080969,0,PERSON,Sakesamma Chito
1080960,0,ORGANIZATION,Spay
1080960,0,PERSON,Manolo
1080960,0,PERSON,Benito
1081048,-1,PERSON,Enríquez Negreira
1080981,0,ORGANIZATION,Barsa
1080981,0,ORGANIZATION,PSOE
1080820,-1,EVENT,#Negreira
1080820,-1,PERSON,elmundoes
1080820,-1,ORGANIZATION,elconfidencial
1080820,-1,PERSON,jpedrerol
1081037,-1,ORGANIZATION,BarçaGate
1081037,-1,PERSON,A. Trallero
1081037,-1,PERSON,Bengoechea
1081037,-1,PERSON,Marcos
1081037,-1,ORGANIZATION,YouTube
1081063,-1,PERSON,Negreira
1081063,-1,PERSON,Tito Berni
1081063,-1,PERSON,Españistan
1080794,35,PERSON,Medina
1080794,35,PERSON,Negreira
1080794,35,PERSON,CTARFEF
1080794,35,PERSON,rfef
1080820,-1,PERSON,JLSanchez78
1080820,-1,PERSON,vicenruiz
1080820,-1,PERSON,eurreiztieta
1080822,-1,EVENT,Negreira
1080822,-1,ORGANIZATION,ElPeriodico_Esp
1080998,0,ORGANIZATION,Barsa
1081032,-1,PERSON,Negreira
1081032,-1,PERSON,Joseba Larrañaga
1080929,-1,ORGANIZATION,MEDINA
1080929,-1,ORGANIZATION,YouTube
1080898,0,PERSON,Enríquez Negreira
1081048,-1,PERSON,Messi
1080898,0,ORGANIZATION,Palancas
1080898,0,ORGANIZATION,The BEST
1081000,0,ORGANIZATION,real
1080898,0,PERSON,Messi
1080898,0,EVENT,Copa América
1081009,17,PERSON,Pedrerol
1081009,17,PERSON,Negreira
1081009,17,PERSON,Messi
1081009,17,PERSON,jpedrerol
1081009,17,PERSON,alfredoduro1
1081000,0,ORGANIZATION,madrid
1081000,0,ORGANIZATION,barsa
1081000,0,ORGANIZATION,cristiano
1080940,0,PERSON,pedri
1080940,0,PERSON,lewy
1080993,-1,ORGANIZATION,'Caso Negreira'
1081073,-1,ORGANIZATION,Barcelona
1081073,-1,ORGANIZATION,Barsa
1081054,18,ORGANIZATION,Negreira fc
1080834,-1,PERSON,Negreira
1080957,-1,PERSON,De la Fuente
