text_id,text,type
1081043,estrada fernández,PERSON
1081043,enríquez negreira,PERSON
1080968,barsa,LOCATION
1080900,negreira,PERSON
1080900,real madrid,ORGANIZATION
1081024,barsa,ORGANIZATION
1081024,madrid,ORGANIZATION
1081024,madrid,ORGANIZATION
1080932,barsa,ORGANIZATION
1081021,negreira boys,ORGANIZATION
1080813,barcelona,ORGANIZATION
1080813,negreira,PERSON
1081819,ancelotti,PERSON
1081399,madrid,ORGANIZATION
1081399,barsa,ORGANIZATION
1081201,barsa,ORGANIZATION
1081201,madrid,ORGANIZATION
1081109,fc barcelona,ORGANIZATION
1081988,laporta,PERSON
1081988,enríquez negreira,PERSON
1081767,uefa,ORGANIZATION
1081767,barsa,ORGANIZATION
1081767,barcelona,ORGANIZATION
1081942,negreira,PERSON
1081942,barcelona,ORGANIZATION
1081625,negreira,PERSON
1081511,barsa,PERSON
1081251,barsa,ORGANIZATION
1081251,madrid,ORGANIZATION
1081251,madrid,ORGANIZATION
1081251,madrid,ORGANIZATION
1081262,real madrid,ORGANIZATION
1081262,barsa,ORGANIZATION
1081433,negreira,PERSON
1081655,negreira,PERSON
1081655,cta,ORGANIZATION
1081655,rfef,ORGANIZATION
1081432,madrid,ORGANIZATION
1081432,barsa,ORGANIZATION
1081853,barcelona,ORGANIZATION
1081476,negreira,PERSON
1081377,negreira,PERSON
1081377,barcelona,ORGANIZATION
1081218,ancelotti,PERSON
1081218,barsa,PERSON
1081749,barça,ORGANIZATION
1081749,negreira,PERSON
1081556,negreira,ORGANIZATION
1081668,enríquez negreira,PERSON
1081668,fc barcelona,ORGANIZATION
1081186,realmadrid,ORGANIZATION
1081809,negreira,PERSON
1081876,negreira,ORGANIZATION
1081098,enríquez negreira,PERSON
1081644,negreira,PERSON
1081644,fc barcelona,ORGANIZATION
1081620,el barsa,PERSON
1081277,negreira,PERSON
1081277,barcelona,ORGANIZATION
1081734,negreira,OTHER
1081167,negreira,PERSON
1081167,fiscalía,ORGANIZATION
1081340,negreira,PERSON
1081340,barcelona,ORGANIZATION
1081449,negreira,PERSON
1081419,negreira,PERSON
1081737,negreira,PERSON
1081652,madrid,ORGANIZATION
1081807,negreira,PERSON
1081922,barsa,PERSON
1081272,negreira,PERSON
1081969,barcelona,ORGANIZATION
1081969,negreira,ORGANIZATION
1081969,negreira,PERSON
1081595,barcelona,ORGANIZATION
1081595,madrid,ORGANIZATION
1081896,negreira,LOCATION
1081896,cta,ORGANIZATION
1081315,negreira,PERSON
1081315,barça,ORGANIZATION
1081170,fc barcelona,ORGANIZATION
1081170,fc barcelona,ORGANIZATION
1081170,barça,ORGANIZATION
1081137,negreira fc,ORGANIZATION
1081894,negreira,PERSON
1081664,negreira,PERSON
1081925,ancelotti,PERSON
1081925,negreira',PERSON
1081788,negreira,PERSON
1081898,barça,ORGANIZATION
1081898,enríquez negreira,PERSON
1081858,negreira,PERSON
1081858,barça,ORGANIZATION
1081905,negreira,PERSON
1081987,barça,ORGANIZATION
1081565,negreira,PERSON
1081852,barsa,PERSON
1081653,barsa,TITLE
1081319,barsa,PERSON
1081373,negreira,PERSON
1081373,barcelona,ORGANIZATION
1081326,negreira,PERSON
1081326,barcelona,ORGANIZATION
1081209,negreira,PERSON
1081916,ancelotti,PERSON
1081946,barsa,ORGANIZATION
1081312,negreira,PERSON
1081356,enríquez negreira,PERSON
1081959,negreira,PERSON
1081578,negreira,PERSON
1081914,ancelotti,PERSON
1081914,negreira',PERSON
1081768,negreira,PERSON
1081768,real madrid,ORGANIZATION
1081768,barcelona,ORGANIZATION
1081259,negreira,PERSON
1081259,barcelona,ORGANIZATION
1081774,barsa,ORGANIZATION
1081424,madrid,ORGANIZATION
1081424,barsa,ORGANIZATION
1081204,barça,ORGANIZATION
1081204,enríquez negreira,PERSON
1081328,vinicius,PERSON
1081328,enríquez negreira,PERSON
1081210,cta,ORGANIZATION
1081786,barsa,ORGANIZATION
1081786,negreira,PERSON
1081786,negreira,PERSON
1081786,negreira,PERSON
1080862,negreira,PERSON
1081448,barsa,LOCATION
1081348,negreira,PERSON
1081881,negreira,PERSON
