text_id,date,labels,positive_score,neutral_score,negative_score
1081093,2023-03-02,25,0.06,0.91,0.04
1081094,2023-03-02,123,0.03,0.68,0.29
1081095,2023-03-02,-1,0.6,0.39,0.01
1081096,2023-03-02,128,0.04,0.92,0.04
1081097,2023-03-02,-1,0.03,0.88,0.09
1081098,2023-03-02,-1,0.04,0.67,0.3
1081099,2023-03-02,-1,0.27,0.61,0.12
1081100,2023-03-02,0,0.03,0.94,0.04
1081101,2023-03-02,-1,0.1,0.88,0.01
1081102,2023-03-02,20,0.05,0.47,0.48
1081103,2023-03-02,33,0.05,0.7,0.25
1081104,2023-03-02,98,0.01,0.26,0.73
1081105,2023-03-02,65,0.02,0.53,0.45
1081106,2023-03-02,-1,0.03,0.35,0.62
1081107,2023-03-02,62,0.07,0.91,0.03
1081108,2023-03-02,-1,0.03,0.44,0.53
1081109,2023-03-02,124,0.01,0.63,0.36
1081110,2023-03-02,128,0.03,0.94,0.04
1081111,2023-03-02,-1,0.41,0.56,0.03
1081112,2023-03-02,-1,0.02,0.96,0.01
1081113,2023-03-02,90,0.1,0.89,0.01
1081114,2023-03-02,64,0.02,0.51,0.47
1081115,2023-03-02,-1,0.04,0.95,0.01
1081116,2023-03-02,1,0.32,0.64,0.04
1081187,2023-03-02,-1,0.05,0.89,0.06
1081117,2023-03-02,-1,0.11,0.89,0.01
1081118,2023-03-02,124,0.02,0.77,0.22
1081119,2023-03-02,14,0.03,0.95,0.02
1081120,2023-03-02,-1,0.55,0.35,0.1
1081121,2023-03-02,-1,0.02,0.65,0.33
1081122,2023-03-02,-1,0.03,0.5,0.47
1081123,2023-03-02,1,0.07,0.23,0.7
1081124,2023-03-02,128,0.02,0.69,0.29
1081125,2023-03-02,128,0.01,0.5,0.49
1081126,2023-03-02,-1,0.02,0.36,0.62
1081127,2023-03-02,-1,0.04,0.52,0.43
1081128,2023-03-02,-1,0.06,0.44,0.5
1081129,2023-03-02,-1,0.13,0.66,0.21
1081130,2023-03-02,65,0.3,0.58,0.11
1081131,2023-03-02,-1,0.15,0.55,0.29
1081132,2023-03-02,-1,0.16,0.76,0.08
1081133,2023-03-02,-1,0.01,0.54,0.44
1081134,2023-03-02,65,0.01,0.71,0.28
1081136,2023-03-02,14,0.03,0.95,0.02
1081137,2023-03-02,-1,0.96,0.04,0.0
1081138,2023-03-02,-1,0.02,0.28,0.7
1081140,2023-03-02,-1,0.05,0.89,0.06
1081141,2023-03-02,-1,0.01,0.06,0.93
1081143,2023-03-02,-1,0.01,0.13,0.86
1081144,2023-03-02,-1,0.01,0.11,0.89
1081145,2023-03-02,-1,0.05,0.86,0.09
1081146,2023-03-02,-1,0.03,0.43,0.54
1081147,2023-03-02,-1,0.01,0.54,0.44
1081148,2023-03-02,1,0.01,0.08,0.91
1081150,2023-03-02,81,0.04,0.72,0.24
1081151,2023-03-02,-1,0.09,0.89,0.02
1081152,2023-03-02,-1,0.1,0.73,0.17
1081153,2023-03-02,-1,0.01,0.15,0.84
1081154,2023-03-02,-1,0.01,0.06,0.94
1081155,2023-03-02,0,0.11,0.83,0.06
1081156,2023-03-02,5,0.25,0.72,0.02
1081157,2023-03-02,0,0.19,0.77,0.04
1081158,2023-03-02,160,0.04,0.57,0.4
1081159,2023-03-02,161,0.02,0.23,0.76
1081160,2023-03-02,90,0.7,0.29,0.01
1081161,2023-03-02,5,0.21,0.65,0.14
1081162,2023-03-02,-1,0.03,0.9,0.07
1081163,2023-03-02,7,0.03,0.89,0.08
1081164,2023-03-02,-1,0.05,0.8,0.15
1081165,2023-03-02,90,0.04,0.86,0.1
1081166,2023-03-02,-1,0.01,0.21,0.78
1081167,2023-03-02,21,0.01,0.19,0.81
1081168,2023-03-02,-1,0.97,0.03,0.0
1081169,2023-03-02,-1,0.21,0.38,0.41
1081170,2023-03-02,-1,0.03,0.41,0.56
1081171,2023-03-02,-1,0.04,0.92,0.04
1081172,2023-03-02,56,0.03,0.96,0.01
1081173,2023-03-02,-1,0.17,0.82,0.01
1081174,2023-03-02,19,0.01,0.42,0.57
1081175,2023-03-02,-1,0.05,0.55,0.39
1081176,2023-03-02,60,0.05,0.93,0.02
1081177,2023-03-02,-1,0.08,0.87,0.05
1081178,2023-03-02,132,0.1,0.84,0.06
1081179,2023-03-02,-1,0.01,0.13,0.86
1081180,2023-03-02,-1,0.01,0.1,0.9
1081181,2023-03-02,-1,0.14,0.59,0.27
1081182,2023-03-02,14,0.02,0.92,0.05
1081183,2023-03-02,-1,0.01,0.08,0.91
1081184,2023-03-02,-1,0.01,0.23,0.76
1081185,2023-03-02,112,0.01,0.19,0.79
1081695,2023-03-01,-1,0.01,0.96,0.03
1081188,2023-03-02,18,0.13,0.73,0.14
1081189,2023-03-02,99,0.01,0.24,0.74
1081190,2023-03-02,-1,0.24,0.59,0.16
1081191,2023-03-02,138,0.03,0.78,0.19
